# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2023-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): -10.3333
# Longitude (positive East, ISO 19115): -53.2000
# Altitude (m): 300.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2023-02-07
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2022-02-06T00:00:00.0/2022-02-07T00:00:00.0;10959.9150;7526.5190;5243.4858;2283.0332;6950.3848
2022-02-07T00:00:00.0/2022-02-08T00:00:00.0;10955.1670;7547.4004;5233.4912;2313.9092;6985.3999
2022-02-08T00:00:00.0/2022-02-09T00:00:00.0;10949.9355;7699.6401;5904.7603;1794.8798;7927.1309
2022-02-09T00:00:00.0/2022-02-10T00:00:00.0;10944.2832;7693.4351;5891.5005;1801.9347;7999.5103
2022-02-10T00:00:00.0/2022-02-11T00:00:00.0;10938.2412;7977.0254;6912.3579;1064.6677;9570.8154
2022-02-11T00:00:00.0/2022-02-12T00:00:00.0;10931.7305;7774.1812;6255.2754;1518.9058;8589.4355
2022-02-12T00:00:00.0/2022-02-13T00:00:00.0;10924.6963;7878.6465;6786.2334;1092.4132;9364.9941
2022-02-13T00:00:00.0/2022-02-14T00:00:00.0;10917.2100;7913.1372;6797.8438;1115.2932;9472.9385
2022-02-14T00:00:00.0/2022-02-15T00:00:00.0;10909.2891;7828.9619;6456.1821;1372.7793;8900.5762
2022-02-15T00:00:00.0/2022-02-16T00:00:00.0;10900.8643;7657.9292;5810.0054;1847.9242;7853.3867
2022-02-16T00:00:00.0/2022-02-17T00:00:00.0;10891.9014;7571.4971;5660.0933;1911.4042;7613.6675
2022-02-17T00:00:00.0/2022-02-18T00:00:00.0;10882.4746;7890.4395;6774.8291;1115.6106;9356.0293
2022-02-18T00:00:00.0/2022-02-19T00:00:00.0;10872.4844;7853.0791;6695.6021;1157.4773;9213.6885
2022-02-19T00:00:00.0/2022-02-20T00:00:00.0;10861.9941;7960.2769;7150.9355;809.3417;10096.9863
2022-02-20T00:00:00.0/2022-02-21T00:00:00.0;10851.0166;7932.4380;7010.1201;922.3181;9801.0645
2022-02-21T00:00:00.0/2022-02-22T00:00:00.0;10839.4492;7782.0264;6480.2319;1301.7941;8879.9512
2022-02-22T00:00:00.0/2022-02-23T00:00:00.0;10827.4092;7621.0293;5995.2822;1625.7474;7942.7632
2022-02-23T00:00:00.0/2022-02-24T00:00:00.0;10814.8105;7676.1343;6097.8301;1578.3046;8322.6006
2022-02-24T00:00:00.0/2022-02-25T00:00:00.0;10801.5898;7599.7197;5895.0889;1704.6307;7995.5928
2022-02-25T00:00:00.0/2022-02-26T00:00:00.0;10787.9150;7727.8320;6189.1450;1538.6873;8430.6660
2022-02-26T00:00:00.0/2022-02-27T00:00:00.0;10773.6416;7876.8320;6775.4019;1101.4305;9192.7881
2022-02-27T00:00:00.0/2022-02-28T00:00:00.0;10758.8672;7638.3818;6024.1660;1614.2157;8113.2236
2022-02-28T00:00:00.0/2022-03-01T00:00:00.0;10743.4805;7741.9219;6336.4453;1405.4764;8625.0654
2022-03-01T00:00:00.0/2022-03-02T00:00:00.0;10727.5996;7479.6357;5468.5503;2011.0854;7348.7749
2022-03-02T00:00:00.0/2022-03-03T00:00:00.0;10711.0996;7599.4365;5874.4756;1724.9609;7901.6777
2022-03-03T00:00:00.0/2022-03-04T00:00:00.0;10694.1094;7453.4507;5416.3823;2037.0686;7270.2261
2022-03-04T00:00:00.0/2022-03-05T00:00:00.0;10676.4990;7500.5952;5578.3604;1922.2347;7486.6538
2022-03-05T00:00:00.0/2022-03-06T00:00:00.0;10658.4014;7574.1284;5871.3848;1702.7435;7925.5049
2022-03-06T00:00:00.0/2022-03-07T00:00:00.0;10639.6885;7621.8208;6251.6113;1370.2095;8535.8008
2022-03-07T00:00:00.0/2022-03-08T00:00:00.0;10620.4443;7691.1558;6642.1836;1048.9722;9245.3662
2022-03-08T00:00:00.0/2022-03-09T00:00:00.0;10600.6445;7619.7622;6356.8438;1262.9182;8832.0371
2022-03-09T00:00:00.0/2022-03-10T00:00:00.0;10580.3613;7621.0513;6401.5479;1219.5033;8862.0605
