# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2023-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): -79.4063
# Longitude (positive East, ISO 19115): 0.3149
# Altitude (m): 2387.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2023-02-07
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2022-02-06T00:00:00.0/2022-02-07T00:00:00.0;8847.5391;7409.2915;6132.1206;1277.1711;21663.1250
2022-02-07T00:00:00.0/2022-02-08T00:00:00.0;8671.5537;7212.2051;6000.5601;1211.6450;21504.9395
2022-02-08T00:00:00.0/2022-02-09T00:00:00.0;8492.9678;7054.3491;5874.6357;1179.7130;21345.2090
2022-02-09T00:00:00.0/2022-02-10T00:00:00.0;8311.8496;6915.4697;5734.7598;1180.7104;21218.2148
2022-02-10T00:00:00.0/2022-02-11T00:00:00.0;8128.2690;6743.1104;5580.9263;1162.1838;20988.3984
2022-02-11T00:00:00.0/2022-02-12T00:00:00.0;7942.2925;6558.6851;5424.4443;1134.2408;20695.5156
2022-02-12T00:00:00.0/2022-02-13T00:00:00.0;7753.9888;6345.0464;5263.2671;1081.7792;20343.1523
2022-02-13T00:00:00.0/2022-02-14T00:00:00.0;7563.4258;6140.0474;5078.0015;1062.0461;19898.2969
2022-02-14T00:00:00.0/2022-02-15T00:00:00.0;7370.6724;6039.5913;5008.4927;1031.0986;20054.6074
2022-02-15T00:00:00.0/2022-02-16T00:00:00.0;7175.7964;5733.0605;4623.0435;1110.0173;18746.0723
2022-02-16T00:00:00.0/2022-02-17T00:00:00.0;6978.8662;5584.3530;4586.3760;997.9769;18626.9043
2022-02-17T00:00:00.0/2022-02-18T00:00:00.0;6779.9512;5477.8584;4495.4556;982.4031;18645.6289
2022-02-18T00:00:00.0/2022-02-19T00:00:00.0;6579.1191;5351.6758;4425.5073;926.1687;18326.6777
2022-02-19T00:00:00.0/2022-02-20T00:00:00.0;6376.4409;5141.5986;4223.9780;917.6209;17413.8770
2022-02-20T00:00:00.0/2022-02-21T00:00:00.0;6171.9863;4986.8208;4079.0779;907.7430;16893.2207
2022-02-21T00:00:00.0/2022-02-22T00:00:00.0;5968.9438;4756.5127;3852.2283;904.2844;16106.4639
2022-02-22T00:00:00.0/2022-02-23T00:00:00.0;5776.1543;4679.0918;3837.7905;841.3011;16261.0166
2022-02-23T00:00:00.0/2022-02-24T00:00:00.0;5591.2607;4540.5850;3717.1475;823.4373;15856.2285
2022-02-24T00:00:00.0/2022-02-25T00:00:00.0;5411.2378;4296.2368;3383.1582;913.0784;14384.8145
2022-02-25T00:00:00.0/2022-02-26T00:00:00.0;5235.1938;4204.0933;3386.2263;817.8671;14735.5977
2022-02-26T00:00:00.0/2022-02-27T00:00:00.0;5062.6372;4103.9961;3364.1284;739.8676;15010.1055
2022-02-27T00:00:00.0/2022-02-28T00:00:00.0;4893.2529;3984.4744;3269.5481;714.9263;14772.7881
2022-02-28T00:00:00.0/2022-03-01T00:00:00.0;4726.8296;3789.7961;3024.0410;765.7552;13713.8018
2022-03-01T00:00:00.0/2022-03-02T00:00:00.0;4563.2412;3659.9922;2933.9929;725.9993;13569.0195
2022-03-02T00:00:00.0/2022-03-03T00:00:00.0;4402.3647;3532.0725;2864.5803;667.4921;13549.1143
2022-03-03T00:00:00.0/2022-03-04T00:00:00.0;4244.1353;3354.3242;2657.9390;696.3853;12679.6699
2022-03-04T00:00:00.0/2022-03-05T00:00:00.0;4088.5054;3251.0081;2590.0366;660.9714;12608.6592
2022-03-05T00:00:00.0/2022-03-06T00:00:00.0;3935.4377;3125.4062;2496.4385;628.9678;12401.5059
2022-03-06T00:00:00.0/2022-03-07T00:00:00.0;3784.8967;3016.9497;2436.0942;580.8556;12422.8164
2022-03-07T00:00:00.0/2022-03-08T00:00:00.0;3636.8916;2886.8730;2352.3386;534.5344;12280.5703
2022-03-08T00:00:00.0/2022-03-09T00:00:00.0;3491.3931;2727.6799;2180.8928;546.7870;11590.5732
2022-03-09T00:00:00.0/2022-03-10T00:00:00.0;3348.4236;2633.9133;2108.3440;525.5695;11470.7773
2022-03-10T00:00:00.0/2022-03-11T00:00:00.0;3207.9624;2503.7173;1986.1786;517.5387;11049.3535
2022-03-11T00:00:00.0/2022-03-12T00:00:00.0;3070.0359;2412.1270;1935.1129;477.0140;11056.9414
2022-03-12T00:00:00.0/2022-03-13T00:00:00.0;2934.6423;2254.5962;1802.6865;451.9097;10552.1260
2022-03-13T00:00:00.0/2022-03-14T00:00:00.0;2801.8083;2181.3110;1743.8260;437.4850;10466.8096
2022-03-14T00:00:00.0/2022-03-15T00:00:00.0;2671.5247;2070.9973;1666.3099;404.6874;10295.2471
2022-03-15T00:00:00.0/2022-03-16T00:00:00.0;2543.8296;1966.5682;1571.1558;395.4125;9953.4854
2022-03-16T00:00:00.0/2022-03-17T00:00:00.0;2418.7371;1842.7587;1462.7858;379.9730;9479.3652
2022-03-17T00:00:00.0/2022-03-18T00:00:00.0;2296.2468;1734.9026;1369.5624;365.3401;9167.6904
2022-03-18T00:00:00.0/2022-03-19T00:00:00.0;2176.3992;1623.6145;1260.0353;363.5793;8675.5840
2022-03-19T00:00:00.0/2022-03-20T00:00:00.0;2059.2063;1530.2267;1175.7102;354.5165;8355.8301
2022-03-20T00:00:00.0/2022-03-21T00:00:00.0;1944.7037;1451.6621;1120.5479;331.1142;8230.3623
2022-03-21T00:00:00.0/2022-03-22T00:00:00.0;1832.8907;1332.0741;1000.2045;331.8696;7579.6108
2022-03-22T00:00:00.0/2022-03-23T00:00:00.0;1723.8152;1277.4441;999.4197;278.0243;7917.9375
2022-03-23T00:00:00.0/2022-03-24T00:00:00.0;1617.5050;1195.1235;936.3526;258.7708;7716.9595
