# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2019-01-01T00:00:00.0
# Date end (ISO 8601): 2022-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 52.5170
# Longitude (positive East, ISO 19115): 13.3889
# Altitude (m): 44.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2022-11-10
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2019-02-07T00:00:00.0/2019-02-08T00:00:00.0;3160.2515;2104.2378;1601.7296;502.5082;5610.5176
2019-02-08T00:00:00.0/2019-02-09T00:00:00.0;3222.3477;2135.3545;1597.0895;538.2648;5504.6631
2019-02-09T00:00:00.0/2019-02-10T00:00:00.0;3285.5205;2135.9202;1426.0099;709.9103;4750.9360
2019-02-10T00:00:00.0/2019-02-11T00:00:00.0;3349.7258;2102.9385;1375.2529;727.6855;4558.4917
2019-02-11T00:00:00.0/2019-02-12T00:00:00.0;3414.9746;2342.8223;1856.7719;486.0503;6248.8970
2019-02-12T00:00:00.0/2019-02-13T00:00:00.0;3481.2690;2432.5422;1923.9146;508.6276;6355.3398
2019-02-13T00:00:00.0/2019-02-14T00:00:00.0;3548.5593;2351.8931;1699.6609;652.2321;5406.2476
2019-02-14T00:00:00.0/2019-02-15T00:00:00.0;3616.8250;2417.2837;1842.3732;574.9106;5838.9048
2019-02-15T00:00:00.0/2019-02-16T00:00:00.0;3686.0444;2524.6560;1939.7814;584.8747;6137.2905
2019-02-16T00:00:00.0/2019-02-17T00:00:00.0;3756.1960;2678.3198;2198.0403;480.2796;7023.3892
2019-02-17T00:00:00.0/2019-02-18T00:00:00.0;3827.2578;2534.4224;1827.3596;707.0629;5631.5820
2019-02-18T00:00:00.0/2019-02-19T00:00:00.0;3899.2075;2790.0281;2342.0305;447.9974;7322.0693
2019-02-19T00:00:00.0/2019-02-20T00:00:00.0;3972.0225;2598.7776;1789.7600;809.0175;5345.6230
2019-02-20T00:00:00.0/2019-02-21T00:00:00.0;4045.7000;2706.1602;1938.3781;767.7822;5668.2241
2019-02-21T00:00:00.0/2019-02-22T00:00:00.0;4120.1826;2651.6338;1865.3358;786.2980;5386.8369
2019-02-22T00:00:00.0/2019-02-23T00:00:00.0;4195.4619;3061.4863;2568.3167;493.1696;7625.6567
2019-02-23T00:00:00.0/2019-02-24T00:00:00.0;4271.4893;3031.9541;2490.7991;541.1549;7298.7168
2019-02-24T00:00:00.0/2019-02-25T00:00:00.0;4348.2939;2899.8887;2111.8804;788.0083;5919.8809
2019-02-25T00:00:00.0/2019-02-26T00:00:00.0;4425.8203;3112.3303;2459.6260;652.7042;6931.6714
2019-02-26T00:00:00.0/2019-02-27T00:00:00.0;4504.0435;2954.5681;2044.3301;910.2382;5547.2051
2019-02-27T00:00:00.0/2019-02-28T00:00:00.0;4582.9736;3273.8870;2698.5452;575.3419;7454.9902
2019-02-28T00:00:00.0/2019-03-01T00:00:00.0;4662.5220;3159.6145;2326.7607;832.8536;6288.4077
2019-03-01T00:00:00.0/2019-03-02T00:00:00.0;4742.6870;3043.0950;1930.0431;1113.0519;5047.8301
2019-03-02T00:00:00.0/2019-03-03T00:00:00.0;4823.4102;3387.9915;2601.6973;786.2943;6824.9209
2019-03-03T00:00:00.0/2019-03-04T00:00:00.0;4904.7656;3238.5969;2184.4597;1054.1371;5519.6108
2019-03-04T00:00:00.0/2019-03-05T00:00:00.0;4986.6338;3365.3772;2292.0796;1073.2977;5712.0806
2019-03-05T00:00:00.0/2019-03-06T00:00:00.0;5069.0049;3543.9993;2614.0142;929.9852;6634.0459
2019-03-06T00:00:00.0/2019-03-07T00:00:00.0;5151.8481;3624.6213;2893.8127;730.8088;7357.0562
2019-03-07T00:00:00.0/2019-03-08T00:00:00.0;5235.1748;3590.9739;2756.5288;834.4452;6912.4727
2019-03-08T00:00:00.0/2019-03-09T00:00:00.0;5318.8926;3753.8447;2832.4521;921.3925;7097.0781
2019-03-09T00:00:00.0/2019-03-10T00:00:00.0;5402.9736;3770.7505;2813.1838;957.5668;6754.2764
2019-03-10T00:00:00.0/2019-03-11T00:00:00.0;5487.4751;3844.4717;2948.8748;895.5970;7231.1021
2019-03-11T00:00:00.0/2019-03-12T00:00:00.0;5572.2856;3850.3259;2481.7224;1368.6035;5854.4717
2019-03-12T00:00:00.0/2019-03-13T00:00:00.0;5657.3916;4066.9351;3230.0327;836.9023;7753.7686
2019-03-13T00:00:00.0/2019-03-14T00:00:00.0;5742.7969;3950.6255;2491.5713;1459.0542;5738.8545
