# Coding: utf-8,
# File format version: 2,
# Title: CAMS McClear v3.5 model of clear-sky irradiation.,
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.,
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step
#           for a selected location (worldwide coverage) and a selected period.,
# The research leading to these results has received funding from the European Union within the Copernicus programme.,
# Provider: MINES ParisTech (France),
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear,
# Date begin (ISO 8601): 2019-01-01T00:00:00.0,
# Date end (ISO 8601): 2022-01-01T00:00:00.0,
# Latitude (positive North, ISO 19115): 39.9062
# Longitude (positive East, ISO 19115): 116.3913
# Altitude (m): 47.00,
# Time reference: Universal time (UT),
#,
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11),
# CF Standard Names registry of ObservablePropertyValue,
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html,
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6,
# ObservableProperty,
"#     basePhenomenon:""integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time""",
"#     uom:""Wh m-2"" [unit]",
# StatisticalMeasure,
"#     statisticalFunction: ""sum""",
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s,
# noValue: nan,
# File generated on: 2022-11-10,
#,
# Columns:,
# 1. Observation period (ISO 8601),
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2),
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2),
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2),
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2),
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
#,
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI,
2019-05-27T00:00:00.0/2019-05-28T00:00:00.0;11338.6191;8802.1455;7570.2803;1231.8647;11320.9082,
2019-05-28T00:00:00.0/2019-05-29T00:00:00.0;11359.9971;8516.6006;6804.4873;1712.1134;9461.4658,
2019-05-29T00:00:00.0/2019-05-30T00:00:00.0;11380.4268;8001.6709;5564.2695;2437.4016;7553.9043,
2019-05-30T00:00:00.0/2019-05-31T00:00:00.0;11399.9404;7835.2446;4998.6846;2836.5603;7936.5586,
2019-05-31T00:00:00.0/2019-06-01T00:00:00.0;11418.5459;8677.5820;7292.7104;1384.8713;10168.2695,
2019-06-01T00:00:00.0/2019-06-02T00:00:00.0;11436.2539;6825.8125;3278.2583;3547.5542;4172.8037,
2019-06-02T00:00:00.0/2019-06-03T00:00:00.0;11453.0137;6377.0728;2365.4680;4011.6045;3194.9370,
2019-06-03T00:00:00.0/2019-06-04T00:00:00.0;11468.8145;7521.3179;4292.4097;3228.9082;5615.7520,
2019-06-04T00:00:00.0/2019-06-05T00:00:00.0;11483.7588;6510.5215;2497.2183;4013.3035;3254.3423,
2019-06-05T00:00:00.0/2019-06-06T00:00:00.0;11497.7422;6881.4219;3056.2505;3825.1714;3983.2739,
2019-06-06T00:00:00.0/2019-06-07T00:00:00.0;11510.7686;7129.0361;3558.2063;3570.8298;4698.6245,
2019-06-07T00:00:00.0/2019-06-08T00:00:00.0;11522.8945;6998.1226;3241.1968;3756.9260;4632.0879,
2019-06-08T00:00:00.0/2019-06-09T00:00:00.0;11534.0889;8404.5967;6350.6831;2053.9133;9255.8760,
2019-06-09T00:00:00.0/2019-06-10T00:00:00.0;11544.3682;8558.6123;7184.7998;1373.8127;10100.3184,
2019-06-10T00:00:00.0/2019-06-11T00:00:00.0;11553.7021;8022.9653;5717.2837;2305.6816;7772.6069,
2019-06-11T00:00:00.0/2019-06-12T00:00:00.0;11562.0869;7312.8828;4110.6621;3202.2207;5463.7646,
2019-06-12T00:00:00.0/2019-06-13T00:00:00.0;11569.5586;6826.5366;2932.8801;3893.6567;3819.2595,
2019-06-13T00:00:00.0/2019-06-14T00:00:00.0;11576.0830;7474.9375;4184.1704;3290.7666;5773.5596,
2019-06-14T00:00:00.0/2019-06-15T00:00:00.0;11581.6641;8342.7656;6485.2275;1857.5377;9061.3750,
2019-06-15T00:00:00.0/2019-06-16T00:00:00.0;11586.3584;7083.0791;3643.7834;3439.2957;4672.3745,
2019-06-16T00:00:00.0/2019-06-17T00:00:00.0;11590.0869;6640.1265;2489.9412;4150.1851;3300.7288,
2019-06-17T00:00:00.0/2019-06-18T00:00:00.0;11592.9131;6813.5688;2921.0444;3892.5244;3818.9817,
2019-06-18T00:00:00.0/2019-06-19T00:00:00.0;11594.7910;7098.5103;3617.8176;3480.6926;4648.1807,
2019-06-19T00:00:00.0/2019-06-20T00:00:00.0;11595.7344;6132.4375;1751.5848;4380.8525;2281.8643,
2019-06-20T00:00:00.0/2019-06-21T00:00:00.0;11595.7236;6948.7427;3274.2900;3674.4529;4349.3511,
2019-06-21T00:00:00.0/2019-06-22T00:00:00.0;11594.8594;6156.7749;1819.5542;4337.2207;2501.0657,
2019-06-22T00:00:00.0/2019-06-23T00:00:00.0;11593.0371;7654.7339;4797.5122;2857.2217;6462.0903,
2019-06-23T00:00:00.0/2019-06-24T00:00:00.0;11590.2871;7086.1895;3716.4312;3369.7581;5038.9360,
2019-06-24T00:00:00.0/2019-06-25T00:00:00.0;11586.5811;7207.7954;4027.3149;3180.4805;5241.0029,
2019-06-25T00:00:00.0/2019-06-26T00:00:00.0;11581.9971;6628.8242;2791.9387;3836.8855;3643.0867,
2019-06-26T00:00:00.0/2019-06-27T00:00:00.0;11576.4893;6747.6523;2832.5200;3915.1323;3690.7461,
2019-06-27T00:00:00.0/2019-06-28T00:00:00.0;11570.0322;6563.9604;2478.3201;4085.6406;3238.1960,
2019-06-28T00:00:00.0/2019-06-29T00:00:00.0;11562.7031;7141.5308;3722.9536;3418.5771;4760.9106,
2019-06-29T00:00:00.0/2019-06-30T00:00:00.0;11554.4541;7817.6396;4945.9248;2871.7148;7770.7588,
2019-06-30T00:00:00.0/2019-07-01T00:00:00.0;11545.2754;8573.8535;7345.9600;1227.8934;10405.7930,
2019-07-01T00:00:00.0/2019-07-02T00:00:00.0;11535.2148;8210.7588;6388.2495;1822.5088;8742.2490,
2019-07-02T00:00:00.0/2019-07-03T00:00:00.0;11524.2256;7546.8193;4579.5244;2967.2949;6276.1875,
2019-07-03T00:00:00.0/2019-07-04T00:00:00.0;11512.3604;8093.2563;6016.0645;2077.1919;8405.7188,
2019-07-04T00:00:00.0/2019-07-05T00:00:00.0;11499.5713;7689.6353;5129.7646;2559.8708;6637.7837,
2019-07-05T00:00:00.0/2019-07-06T00:00:00.0;11485.9062;6996.8735;3435.8962;3560.9773;4492.8857,
2019-07-06T00:00:00.0/2019-07-07T00:00:00.0;11471.3291;7274.6587;3906.8003;3367.8582;5256.6401,
2019-07-07T00:00:00.0/2019-07-08T00:00:00.0;11455.8330;7471.3540;4352.8965;3118.4575;6023.3711,
2019-07-08T00:00:00.0/2019-07-09T00:00:00.0;11439.5137;7713.4434;5158.7446;2554.6990;7005.4922,
2019-07-09T00:00:00.0/2019-07-10T00:00:00.0;11422.2783;7331.1079;4160.3301;3170.7776;5535.4360,
2019-07-10T00:00:00.0/2019-07-11T00:00:00.0;11404.1338;7302.4834;4074.9846;3227.4988;5484.0693,
2019-07-11T00:00:00.0/2019-07-12T00:00:00.0;11385.1826;7339.7979;4218.6230;3121.1746;5770.7651,
2019-07-12T00:00:00.0/2019-07-13T00:00:00.0;11365.2920;7534.6709;4810.2920;2724.3784;6465.4932,
2019-07-13T00:00:00.0/2019-07-14T00:00:00.0;11344.5703;6859.7754;3287.9814;3571.7939;4348.1270,
2019-07-14T00:00:00.0/2019-07-15T00:00:00.0;11322.9717;7100.7539;3853.5188;3247.2354;5072.3159,
2019-07-15T00:00:00.0/2019-07-16T00:00:00.0;11300.5352;6432.9688;2525.0852;3907.8838;3308.3284,
2019-07-16T00:00:00.0/2019-07-17T00:00:00.0;11277.1943;6349.4014;2391.8328;3957.5686;3072.5759,
2019-07-17T00:00:00.0/2019-07-18T00:00:00.0;11253.0361;5754.1382;1498.5146;4255.6235;1902.3953,
2019-07-18T00:00:00.0/2019-07-19T00:00:00.0;11227.9912;5652.5405;1415.9315;4236.6089;1800.2738,
2019-07-19T00:00:00.0/2019-07-20T00:00:00.0;11202.1680;5092.9995;1030.5575;4062.4421;1329.9558,
2019-07-20T00:00:00.0/2019-07-21T00:00:00.0;11175.4580;5812.0273;1559.6224;4252.4048;2171.3611,
2019-07-21T00:00:00.0/2019-07-22T00:00:00.0;11147.8916;7266.4595;4334.8452;2931.6145;5992.8501,
2019-07-22T00:00:00.0/2019-07-23T00:00:00.0;11119.4854;6924.6538;3683.3118;3241.3420;4909.8174,
2019-07-23T00:00:00.0/2019-07-24T00:00:00.0;11090.2822;7711.4336;5707.9292;2003.5044;7781.7129,
2019-07-24T00:00:00.0/2019-07-25T00:00:00.0;11060.2598;6853.4141;3616.4324;3236.9817;4843.5869,
2019-07-25T00:00:00.0/2019-07-26T00:00:00.0;11029.3857;6740.3994;3411.5872;3328.8120;4580.7383,
2019-07-26T00:00:00.0/2019-07-27T00:00:00.0;10997.6924;6699.7437;3290.5344;3409.2092;4444.2788,
2019-07-27T00:00:00.0/2019-07-28T00:00:00.0;10965.1836;6350.2656;2650.9133;3699.3523;3501.6736,
2019-07-28T00:00:00.0/2019-07-29T00:00:00.0;10931.8672;5949.7573;1854.4316;4095.3259;2431.7100,
2019-07-29T00:00:00.0/2019-07-30T00:00:00.0;10897.7490;6432.9180;2637.4368;3795.4810;3807.4468,
2019-07-30T00:00:00.0/2019-07-31T00:00:00.0;10862.8340;6814.6582;3635.9053;3178.7529;4914.2339,
2019-07-31T00:00:00.0/2019-08-01T00:00:00.0;10827.1289;6471.9766;3082.1353;3389.8411;4109.0645,
2019-08-01T00:00:00.0/2019-08-02T00:00:00.0;10790.6396;6346.7471;2676.3787;3670.3684;3531.0613,
2019-08-02T00:00:00.0/2019-08-03T00:00:00.0;10753.4092;5921.7583;1858.6135;4063.1450;2606.6838,
2019-08-03T00:00:00.0/2019-08-04T00:00:00.0;10715.3750;6749.7607;3638.4951;3111.2656;5012.1357,
2019-08-04T00:00:00.0/2019-08-05T00:00:00.0;10676.5742;6435.9282;2895.6211;3540.3074;3927.9690,
2019-08-05T00:00:00.0/2019-08-06T00:00:00.0;10637.0137;6572.8481;3283.8057;3289.0422;4395.2114,
2019-08-06T00:00:00.0/2019-08-07T00:00:00.0;10596.6973;6356.5835;2758.0142;3598.5691;3750.8521,
2019-08-07T00:00:00.0/2019-08-08T00:00:00.0;10555.6328;6314.7373;2630.7573;3683.9797;3634.3301,
2019-08-08T00:00:00.0/2019-08-09T00:00:00.0;10513.8252;6100.0225;2385.5356;3714.4868;3189.7827,
2019-08-09T00:00:00.0/2019-08-10T00:00:00.0;10471.2471;5415.7183;1309.8569;4105.8613;1797.3114,
2019-08-10T00:00:00.0/2019-08-11T00:00:00.0;10427.9834;6445.2725;3105.4138;3339.8589;4291.2231,
2019-08-11T00:00:00.0/2019-08-12T00:00:00.0;10383.9941;6884.1904;4286.9165;2597.2742;6553.1870,
2019-08-12T00:00:00.0/2019-08-13T00:00:00.0;10339.2852;7247.1387;5759.1377;1488.0011;8675.8701,
2019-08-13T00:00:00.0/2019-08-14T00:00:00.0;10293.8281;7227.9619;5730.4038;1497.5582;8472.0557,
2019-08-14T00:00:00.0/2019-08-15T00:00:00.0;10247.7129;7179.1211;5449.6436;1729.4772;8153.6694,
2019-08-15T00:00:00.0/2019-08-16T00:00:00.0;10200.8945;6888.0093;4608.5420;2279.4675;6733.6821,
2019-08-16T00:00:00.0/2019-08-17T00:00:00.0;10153.3789;7243.0234;5702.2568;1540.7665;8726.6748,
2019-08-17T00:00:00.0/2019-08-18T00:00:00.0;10105.1973;7342.1597;6009.3506;1332.8096;8963.4170,
2019-08-18T00:00:00.0/2019-08-19T00:00:00.0;10056.3291;6523.4565;3999.2400;2524.2166;5711.5513,
2019-08-19T00:00:00.0/2019-08-20T00:00:00.0;10006.7588;6147.3643;3178.7854;2968.5786;4403.3271,
2019-08-20T00:00:00.0/2019-08-21T00:00:00.0;9956.5625;5753.8496;2228.6165;3525.2332;3403.9651,
2019-08-21T00:00:00.0/2019-08-22T00:00:00.0;9905.6973;7129.8760;5626.5469;1503.3293;8369.2139,
2019-08-22T00:00:00.0/2019-08-23T00:00:00.0;9854.1631;6815.8696;4982.0557;1833.8137;7747.3105,
2019-08-23T00:00:00.0/2019-08-24T00:00:00.0;9802.0137;7085.8105;5760.0474;1325.7632;8573.4385,
2019-08-24T00:00:00.0/2019-08-25T00:00:00.0;9749.2041;6518.9673;4125.6172;2393.3503;6188.3589,
2019-08-25T00:00:00.0/2019-08-26T00:00:00.0;9695.8057;6472.5327;4247.9609;2224.5720;6067.8062,
2019-08-26T00:00:00.0/2019-08-27T00:00:00.0;9641.7598;5716.5688;2425.4194;3291.1497;3789.3105,
2019-08-27T00:00:00.0/2019-08-28T00:00:00.0;9587.1475;6947.8252;5516.3555;1431.4700;8354.7783,
2019-08-28T00:00:00.0/2019-08-29T00:00:00.0;9531.9092;6928.9551;5636.9048;1292.0503;8919.9961,
2019-08-29T00:00:00.0/2019-08-30T00:00:00.0;9476.1250;6863.0645;5572.5767;1290.4878;8845.6553,
2019-08-30T00:00:00.0/2019-08-31T00:00:00.0;9419.7383;6855.8335;5525.2729;1330.5605;8647.9805,
2019-08-31T00:00:00.0/2019-09-01T00:00:00.0;9362.8242;6509.3643;4615.5771;1893.7869;7075.4194,
2019-09-01T00:00:00.0/2019-09-02T00:00:00.0;9305.3789;6296.6562;4218.1919;2078.4644;6450.1689,
2019-09-02T00:00:00.0/2019-09-03T00:00:00.0;9247.3496;6234.3301;4144.6387;2089.6912;6295.1064,
2019-09-03T00:00:00.0/2019-09-04T00:00:00.0;9188.8555;5901.6172;3425.6482;2475.9688;5146.7881,
2019-09-04T00:00:00.0/2019-09-05T00:00:00.0;9129.8027;5540.5483;2655.8457;2884.7026;4027.7083,
2019-09-05T00:00:00.0/2019-09-06T00:00:00.0;9070.2969;5778.4380;3208.8486;2569.5894;4912.8145,
2019-09-06T00:00:00.0/2019-09-07T00:00:00.0;9010.2715;5774.7393;3279.9128;2494.8262;5051.5103,
2019-09-07T00:00:00.0/2019-09-08T00:00:00.0;8949.8047;5961.4517;3817.1685;2144.2834;5880.8687,
2019-09-08T00:00:00.0/2019-09-09T00:00:00.0;8888.8584;5549.2412;3074.4158;2474.8257;4598.0234,
2019-09-09T00:00:00.0/2019-09-10T00:00:00.0;8827.4580;4513.1265;1242.7728;3270.3535;1829.3995,
2019-09-10T00:00:00.0/2019-09-11T00:00:00.0;8765.6660;4937.8242;1687.7632;3250.0613;2680.1204,
2019-09-11T00:00:00.0/2019-09-12T00:00:00.0;8703.4229;5564.0635;3141.3596;2422.7041;4978.2959,
2019-09-12T00:00:00.0/2019-09-13T00:00:00.0;8640.7656;5489.5669;2999.1741;2490.3928;4678.4048,
2019-09-13T00:00:00.0/2019-09-14T00:00:00.0;8577.7656;5850.0503;4056.9971;1793.0536;6830.5479,
2019-09-14T00:00:00.0/2019-09-15T00:00:00.0;8514.3477;5944.4131;4329.0439;1615.3690;6825.9409,
2019-09-15T00:00:00.0/2019-09-16T00:00:00.0;8450.5957;5452.4644;3139.1401;2313.3242;5081.5908,
2019-09-16T00:00:00.0/2019-09-17T00:00:00.0;8386.5146;5831.8276;4091.9731;1739.8544;6539.5825,
2019-09-17T00:00:00.0/2019-09-18T00:00:00.0;8322.0527;5379.4937;3069.0005;2310.4932;5428.9956,
2019-09-18T00:00:00.0/2019-09-19T00:00:00.0;8257.3057;6174.2300;5128.5107;1045.7192;8627.2773,
2019-09-19T00:00:00.0/2019-09-20T00:00:00.0;8192.2295;5414.5361;3427.8401;1986.6960;5491.3872,
2019-09-20T00:00:00.0/2019-09-21T00:00:00.0;8126.8555;5024.3892;2599.2629;2425.1262;4226.9731,
2019-09-21T00:00:00.0/2019-09-22T00:00:00.0;8061.2451;4908.6118;2433.3020;2475.3101;3911.3037,
2019-09-22T00:00:00.0/2019-09-23T00:00:00.0;7995.3545;4842.8003;2296.5034;2546.2966;3839.3025,
2019-09-23T00:00:00.0/2019-09-24T00:00:00.0;7929.2192;5455.4087;3722.0801;1733.3286;6594.3730,
2019-09-24T00:00:00.0/2019-09-25T00:00:00.0;7862.9038;5624.0864;4432.7432;1191.3433;7609.9512,
2019-09-25T00:00:00.0/2019-09-26T00:00:00.0;7796.3604;5379.0693;3807.2542;1571.8153;6536.5688,
2019-09-26T00:00:00.0/2019-09-27T00:00:00.0;7729.6284;5115.9312;3197.9824;1917.9486;5420.7397,
2019-09-27T00:00:00.0/2019-09-28T00:00:00.0;7662.7798;4739.4375;2491.0576;2248.3801;4173.0933,
2019-09-28T00:00:00.0/2019-09-29T00:00:00.0;7595.7583;4593.8384;2240.4739;2353.3645;3818.9431,
2019-09-29T00:00:00.0/2019-09-30T00:00:00.0;7528.6099;4576.8032;2334.6606;2242.1426;3946.0044,
2019-09-30T00:00:00.0/2019-10-01T00:00:00.0;7461.4126;4363.5776;1985.6714;2377.9062;3369.5352,
2019-10-01T00:00:00.0/2019-10-02T00:00:00.0;7394.0996;4150.2944;1636.7166;2513.5779;2788.8247,
2019-10-02T00:00:00.0/2019-10-03T00:00:00.0;7326.7622;4276.6279;1918.2473;2358.3809;3337.5090,
2019-10-03T00:00:00.0/2019-10-04T00:00:00.0;7259.3716;4254.3140;1965.6816;2288.6321;3321.0081,
2019-10-04T00:00:00.0/2019-10-05T00:00:00.0;7191.9600;4695.2217;2948.3159;1746.9056;5568.6699,
2019-10-05T00:00:00.0/2019-10-06T00:00:00.0;7124.6011;5231.0801;4202.4561;1028.6240;7660.2314,
2019-10-06T00:00:00.0/2019-10-07T00:00:00.0;7057.2417;4479.3765;2538.6907;1940.6855;4624.1230,
2019-10-07T00:00:00.0/2019-10-08T00:00:00.0;6989.9644;4956.9805;3628.1284;1328.8522;7044.7568,
2019-10-08T00:00:00.0/2019-10-09T00:00:00.0;6922.7446;5140.7417;4263.9722;876.7695;8013.8662,
2019-10-09T00:00:00.0/2019-10-10T00:00:00.0;6855.6113;4382.8696;2536.8506;1846.0188;4583.7437,
2019-10-10T00:00:00.0/2019-10-11T00:00:00.0;6788.6450;3982.9026;1822.7339;2160.1687;3262.9463,
2019-10-11T00:00:00.0/2019-10-12T00:00:00.0;6721.7803;3698.6033;1275.2604;2423.3428;2325.3884,
2019-10-12T00:00:00.0/2019-10-13T00:00:00.0;6655.1182;3749.3140;1510.9608;2238.3533;2699.6562,
2019-10-13T00:00:00.0/2019-10-14T00:00:00.0;6588.6089;3192.9773;825.3906;2367.5867;1933.6152,
2019-10-14T00:00:00.0/2019-10-15T00:00:00.0;6522.3418;4928.9355;4069.6233;859.3123;8098.0254,
2019-10-15T00:00:00.0/2019-10-16T00:00:00.0;6456.2749;4426.9697;3077.6084;1349.3615;5882.9331,
2019-10-16T00:00:00.0/2019-10-17T00:00:00.0;6390.4932;3616.0186;1526.4667;2089.5520;2847.0298,
2019-10-17T00:00:00.0/2019-10-18T00:00:00.0;6324.9580;3477.7378;1316.6770;2161.0608;2456.4253,
2019-10-18T00:00:00.0/2019-10-19T00:00:00.0;6259.7520;3301.6084;1047.7709;2253.8374;1967.3538,
2019-10-19T00:00:00.0/2019-10-20T00:00:00.0;6194.8374;3077.8528;809.3032;2268.5496;1516.7292,
2019-10-20T00:00:00.0/2019-10-21T00:00:00.0;6130.3081;3356.0396;1233.2927;2122.7468;2351.4844,
2019-10-21T00:00:00.0/2019-10-22T00:00:00.0;6066.1069;3736.0168;1885.4380;1850.5789;3666.9824,
2019-10-22T00:00:00.0/2019-10-23T00:00:00.0;6002.3496;3267.5352;1215.5050;2052.0300;2353.7788,
2019-10-23T00:00:00.0/2019-10-24T00:00:00.0;5938.9702;3134.1743;1046.0854;2088.0889;2018.8562,
2019-10-24T00:00:00.0/2019-10-25T00:00:00.0;5876.0474;2673.0105;613.8077;2059.2026;1716.7444,
2019-10-25T00:00:00.0/2019-10-26T00:00:00.0;5813.6309;4313.2358;3563.2856;749.9503;7629.4468,
2019-10-26T00:00:00.0/2019-10-27T00:00:00.0;5751.7021;3860.7212;2586.5642;1274.1570;5479.2495,
2019-10-27T00:00:00.0/2019-10-28T00:00:00.0;5690.2710;3724.6692;2354.6243;1370.0448;4935.8926,
2019-10-28T00:00:00.0/2019-10-29T00:00:00.0;5629.4214;3875.1213;2770.0115;1105.1100;6053.9463,
2019-10-29T00:00:00.0/2019-10-30T00:00:00.0;5569.1392;3747.5430;2574.6887;1172.8542;5545.5083,
2019-10-30T00:00:00.0/2019-10-31T00:00:00.0;5509.4209;3590.9338;2261.2957;1329.6383;4939.5215,
2019-10-31T00:00:00.0/2019-11-01T00:00:00.0;5450.3389;3801.7236;2859.4333;942.2902;6244.6753,
2019-11-01T00:00:00.0/2019-11-02T00:00:00.0;5391.9448;3219.3098;1610.4192;1608.8907;3415.1172,
2019-11-02T00:00:00.0/2019-11-03T00:00:00.0;5334.2222;2753.9448;855.8722;1898.0726;1789.3693,
2019-11-03T00:00:00.0/2019-11-04T00:00:00.0;5277.1963;2874.6226;1049.2666;1825.3560;2285.4829,
2019-11-04T00:00:00.0/2019-11-05T00:00:00.0;5220.8579;2991.8848;1328.5060;1663.3787;2941.1060,
2019-11-05T00:00:00.0/2019-11-06T00:00:00.0;5165.3091;3139.9712;1664.0110;1475.9602;3644.8306,
2019-11-06T00:00:00.0/2019-11-07T00:00:00.0;5110.5293;2669.8279;820.3201;1849.5078;1887.0049,
2019-11-07T00:00:00.0/2019-11-08T00:00:00.0;5056.5146;3381.3630;2305.0354;1076.3276;5304.5366,
2019-11-08T00:00:00.0/2019-11-09T00:00:00.0;5003.3535;3253.9397;2093.7151;1160.2247;4780.2451,
2019-11-09T00:00:00.0/2019-11-10T00:00:00.0;4951.0303;2257.1516;505.5211;1751.6306;1128.2880,
2019-11-10T00:00:00.0/2019-11-11T00:00:00.0;4899.5669;2971.8335;1531.2892;1440.5442;3524.1445,
2019-11-11T00:00:00.0/2019-11-12T00:00:00.0;4848.9849;2935.6587;1557.8389;1377.8199;3535.4014,
2019-11-12T00:00:00.0/2019-11-13T00:00:00.0;4799.3052;2562.4558;1012.8516;1549.6041;2301.7314,
2019-11-13T00:00:00.0/2019-11-14T00:00:00.0;4750.5186;3220.4385;2188.0022;1032.4363;5107.1919,
2019-11-14T00:00:00.0/2019-11-15T00:00:00.0;4702.7163;2323.0264;707.6433;1615.3831;1622.3640,
2019-11-15T00:00:00.0/2019-11-16T00:00:00.0;4655.9229;2007.7894;461.2987;1546.4907;1059.1611,
2019-11-16T00:00:00.0/2019-11-17T00:00:00.0;4610.0786;1991.2352;396.8646;1594.3707;922.7745,
2019-11-17T00:00:00.0/2019-11-18T00:00:00.0;4565.2300;2281.3884;737.7442;1543.6442;1834.7136,
2019-11-18T00:00:00.0/2019-11-19T00:00:00.0;4521.4116;3340.7173;2525.5049;815.2123;6375.3345,
2019-11-19T00:00:00.0/2019-11-20T00:00:00.0;4478.6743;3069.0483;2139.7073;929.3409;5322.6606,
2019-11-20T00:00:00.0/2019-11-21T00:00:00.0;4436.9487;2543.2104;1263.1833;1280.0272;3086.7334,
2019-11-21T00:00:00.0/2019-11-22T00:00:00.0;4396.3369;1906.2500;389.5880;1516.6620;935.4807,
2019-11-22T00:00:00.0/2019-11-23T00:00:00.0;4356.8633;1834.5464;376.6050;1457.9414;906.0952,
2019-11-23T00:00:00.0/2019-11-24T00:00:00.0;4318.4839;1649.7798;219.3141;1430.4657;583.1401,
2019-11-24T00:00:00.0/2019-11-25T00:00:00.0;4281.2681;3267.0728;2709.7502;557.3225;7328.5537,
2019-11-25T00:00:00.0/2019-11-26T00:00:00.0;4245.1919;3157.1870;2475.1023;682.0847;6609.7886,
2019-11-26T00:00:00.0/2019-11-27T00:00:00.0;4210.3115;2653.5908;1611.9451;1041.6456;4248.2144,
2019-11-27T00:00:00.0/2019-11-28T00:00:00.0;4176.6040;2834.0115;2022.7021;811.3094;5368.7705,
2019-11-28T00:00:00.0/2019-11-29T00:00:00.0;4144.1313;2473.1589;1391.6061;1081.5527;3612.2651,
2019-11-29T00:00:00.0/2019-11-30T00:00:00.0;4112.8516;1943.9963;574.5024;1369.4939;1475.3674,
2019-11-30T00:00:00.0/2019-12-01T00:00:00.0;4082.8516;2180.9553;956.7542;1224.2010;2552.3579,
2019-12-01T00:00:00.0/2019-12-02T00:00:00.0;4054.0999;2650.3875;1676.4790;973.9085;4532.9067,
2019-12-02T00:00:00.0/2019-12-03T00:00:00.0;4026.5811;2828.2632;2148.0166;680.2468;6008.8525,
2019-12-03T00:00:00.0/2019-12-04T00:00:00.0;4000.3875;2761.6418;2057.5024;704.1395;5748.0269,
2019-12-04T00:00:00.0/2019-12-05T00:00:00.0;3975.4844;2683.8015;1879.1827;804.6188;5211.5781,
2019-12-05T00:00:00.0/2019-12-06T00:00:00.0;3951.8848;2589.5552;1664.7336;924.8217;4553.7700,
2019-12-06T00:00:00.0/2019-12-07T00:00:00.0;3929.5999;2076.5410;919.7114;1156.8295;2484.1833,
2019-12-07T00:00:00.0/2019-12-08T00:00:00.0;3908.6409;2340.9446;1316.0194;1024.9252;3545.4185,
2019-12-08T00:00:00.0/2019-12-09T00:00:00.0;3889.0176;1560.1100;381.6945;1178.4155;1023.6790,
2019-12-09T00:00:00.0/2019-12-10T00:00:00.0;3870.7388;2072.8054;865.6878;1207.1176;2300.9548,
2019-12-10T00:00:00.0/2019-12-11T00:00:00.0;3853.8120;2076.7280;991.2497;1085.4784;2938.3254,
2019-12-11T00:00:00.0/2019-12-12T00:00:00.0;3838.2441;2894.0352;2413.2607;480.7743;7078.2334,
2019-12-12T00:00:00.0/2019-12-13T00:00:00.0;3824.0857;2556.8372;1800.6003;756.2369;5156.7544,
2019-12-13T00:00:00.0/2019-12-14T00:00:00.0;3811.2690;2624.1799;1954.3516;669.8285;5757.6826,
2019-12-14T00:00:00.0/2019-12-15T00:00:00.0;3799.8281;2603.1777;1933.4470;669.7307;5565.1606,
2019-12-15T00:00:00.0/2019-12-16T00:00:00.0;3789.8040;1900.4596;702.5855;1197.8740;1909.0397,
2019-12-16T00:00:00.0/2019-12-17T00:00:00.0;3781.1946;1995.7981;801.1146;1194.6835;2199.4463,
2019-12-17T00:00:00.0/2019-12-18T00:00:00.0;3773.9290;2675.3315;2091.5210;583.8105;6214.9478,
2019-12-18T00:00:00.0/2019-12-19T00:00:00.0;3768.0972;2213.3064;1226.3103;986.9960;3459.9761,
2019-12-19T00:00:00.0/2019-12-20T00:00:00.0;3763.7019;2654.8262;2005.2518;649.5743;5837.4268,
2019-12-20T00:00:00.0/2019-12-21T00:00:00.0;3760.6621;2129.7075;1085.4757;1044.2319;3006.3723,
2019-12-21T00:00:00.0/2019-12-22T00:00:00.0;3759.1172;2136.5486;1080.5872;1055.9615;3006.2832,
2019-12-22T00:00:00.0/2019-12-23T00:00:00.0;3758.9121;1660.4905;512.1121;1148.3784;1445.8292,
2019-12-23T00:00:00.0/2019-12-24T00:00:00.0;3760.2017;2231.8486;1229.8871;1001.9615;3499.9292,
2019-12-24T00:00:00.0/2019-12-25T00:00:00.0;3762.8635;1464.4165;302.1045;1162.3120;819.7300,
2019-12-25T00:00:00.0/2019-12-26T00:00:00.0;3766.9646;1750.1848;564.0897;1186.0951;1548.7491,
